Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade total de reclamações respondidas;Quantidade de reclamações procedentes;Quantidade de reclamações procedentes extrapoladas;Quantidade total de reclamações analisadas;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;
2025;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;99PAY IP (conglomerado);18,21;2493;136;453;749;24853840;24853838;2;
2025;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ABC-BRASIL (conglomerado); ;21;6;6;22;46241;41428;9408;
2025;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ADYEN DO BRASIL IP (conglomerado); ;17;2;4;9;129;14;115;
2025;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AGIBANK (conglomerado);614,12;6849;990;4027;1683;6556525;5114802;3824513;
2025;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AGORACRED S/A SCFI (conglomerado); ;45;2;3;28;692346;141;692205;
2025;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AL5 S.A. SCFI (conglomerado); ;9;4;4;9;20603;12454;13237;
2025;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ALELO IP (conglomerado); ;90;27;41;62;1697659;1670239;28771;
2025;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AME DIGITAL BRASIL IP (conglomerado);8.305,63;759;165;281;457;33864;6;33858;
2025;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ANDBANK (conglomerado); ;47;3;5;30;112166;4730;107467;
2025;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ASAAS GESTAO FINANCEIRA IP (conglomerado);70,04;211;66;80;173;1149234;1149225;383;
2025;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ASTRO IP (conglomerado);1.257,69;116;65;79;96;62449;62449;0;
2025;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO AFINZ BM (conglomerado); ;468;23;36;294;694750;1416;693490;
2025;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO B3 (conglomerado); ;5;0;0;1;1171;1171;0;
2025;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO BARI DE INVESTIMENTO E FINANCI. (conglomerado);502,85;143;42;47;129;92588;50192;53629;
2025;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO C6 (conglomerado);53,03;6051;351;1726;1383;32544127;28615065;7672103;
2025;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO CNH INDUSTRIAL CAPITAL S.A (conglomerado); ;25;5;8;15;33328;946;32533;
2025;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO DIGIMAIS (conglomerado);1.552,43;680;165;276;407;177576;5115;173160;
2025;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;53518684;BANCO HSBC S.A.; ;20;0;0;16;6181;6164;132;
2025;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;07656500;BANCO KDB DO BRASIL S.A.; ;7;0;0;2;180;167;16;
2025;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO MASTER (conglomerado);232,86;8019;656;2889;1812;12407607;12274282;5700987;
2025;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO PAULISTA (conglomerado); ;27;1;2;16;138043;11673;126752;
2025;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO RIBEIRÃO PRETO (conglomerado);25.308,57;236;93;126;174;4984;4811;1402;
