Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade total de reclamações respondidas;Quantidade de reclamações procedentes;Quantidade de reclamações procedentes extrapoladas;Quantidade total de reclamações analisadas;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;
2025;2º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;99PAY IP (conglomerado);22,74;1683;219;540;682;23763397;23763395;2;
2025;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ABC-BRASIL (conglomerado); ;17;2;4;8;47481;42236;9871;
2025;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ACG IP (conglomerado); ;5;0;0;2;89043;86539;2901;
2025;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ADYEN DO BRASIL IP (conglomerado); ;18;6;6;19;132;13;119;
2025;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AFINZ IP (conglomerado);73,54;330;41;49;286;659778;1151;658696;
2025;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AGIBANK (conglomerado);1.030,58;8199;1057;4742;1822;4601527;3607457;2827918;
2025;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AGORACRED S/A SCFI (conglomerado); ;23;0;0;20;688941;139;688802;
2025;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ALELO IP (conglomerado); ;80;11;24;36;5540664;5513557;30063;
2025;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AME DIGITAL BRASIL IP (conglomerado);12.283,31;527;123;157;418;12785;590;12195;
2025;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ANDBANK (conglomerado); ;29;0;0;24;101544;4672;96898;
