Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade total de reclamações respondidas;Quantidade de reclamações procedentes;Quantidade de reclamações procedentes extrapoladas;Quantidade total de reclamações analisadas;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;
2026;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;99PAY IP (conglomerado);9,51;1477;100;260;568;27324850;27324847;3;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ABC-BRASIL (conglomerado); ;22;4;8;11;45884;41507;8765;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ACG IP (conglomerado); ;3;1;3;1;105561;104835;2451;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ADYEN DO BRASIL IP (conglomerado); ;56;4;6;37;1749;1636;115;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AGIBANK (conglomerado);218,64;3566;369;1646;805;7527488;6123677;4031921;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AGORACRED S/A SCFI (conglomerado); ;51;4;4;49;706434;141;706293;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AL5 S.A. SCFI (conglomerado); ;15;0;0;5;21275;13282;12672;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ANDBANK (conglomerado); ;61;6;7;49;241761;4841;236955;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ASAAS GESTAO FINANCEIRA IP (conglomerado);69,70;221;60;86;156;1229830;1229792;2703;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ASTRO IP (conglomerado);836,13;89;44;52;75;62446;62446;0;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AVANCARD PROVER IP (conglomerado); ;9;2;9;2;194;194;0;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO AFINZ BM (conglomerado);150,50;555;99;130;419;866897;1746;865335;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO BARI DE INVESTIMENTO E FINANCI. (conglomerado);519,74;110;37;38;106;73875;28122;54410;
2026;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO C6 (conglomerado);55,30;7347;371;1898;1356;34326775;29890859;9144368;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO CNH INDUSTRIAL CAPITAL S.A (conglomerado); ;17;0;0;5;33826;952;33025;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO DIGIMAIS (conglomerado);1.665,06;675;166;317;353;190636;4816;186099;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO HSBC (conglomerado); ;10;1;5;2;6243;6223;153;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO PACCAR (conglomerado); ;2;0;0;1;3333;5;3328;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO PAULISTA (conglomerado); ;21;4;6;14;141871;10285;131927;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO RIBEIRÃO PRETO (conglomerado);42.318,23;408;149;211;288;4988;4823;1288;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO SEMEAR (conglomerado); ;40;6;6;40;131796;4780;127481;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO SICOOB (conglomerado);11,58;1543;30;84;551;7251840;3228081;4891273;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO TOPÁZIO S.A. (conglomerado); ;35;4;14;10;11264;9906;2385;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANESTES (conglomerado);61,07;260;68;93;190;1523513;1491257;417348;
