Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade total de reclamações respondidas;Quantidade de reclamações procedentes;Quantidade de reclamações procedentes extrapoladas;Quantidade total de reclamações analisadas;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR
2025;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BTG PACTUAL/BANCO PAN (conglomerado);38,32;5583;274;1001;1499;26117644;20463226;10361589
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BULLLA IP (conglomerado); ;35;7;12;21;463557;394101;135652
2025;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);22,91;17292;244;3546;1190;154717097;153131082;28970394
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CAIXA GERAL (conglomerado); ;50;0;0;31;1016;982;119
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CALCARD IP (conglomerado); ;48;9;17;27;1024966;0;1024966
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;09313766;CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;6;0;0;1;56661;56661;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CELCOIN IP (conglomerado);17,38;276;109;133;227;7625098;7625098;1
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;26225776;CENTROCRED S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTOS; ;2;0;0;1;129980;72;129908
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CIELO IP (conglomerado); ;290;1;6;45;1870148;1870045;119
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CITIBANK (conglomerado); ;15;1;2;10;17841;17580;1109
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CLOUDWALK IP (conglomerado);6,32;907;36;65;505;10220550;10220550;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;COBUCCIO SCFI (conglomerado);302,68;1503;444;741;928;2448124;1451516;1651596
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;46241852;COMPREV - CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.; ;11;0;0;3;301;0;301
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;COOPER CARD IP (conglomerado); ;21;3;6;10;53061;53061;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CORA SCFI (conglomerado); ;238;27;33;193;2261468;2250830;85348
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CREDI SHOP S.A. (conglomerado); ;12;0;0;10;672844;0;672844
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CREDIARE CFI (conglomerado); ;29;9;11;23;65;65;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CREDSYSTEM IP (conglomerado);10,65;263;31;36;224;3416786;0;3416786
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CREFISA S.A. CFI (conglomerado);88,28;2016;261;525;1001;5945107;2511416;3952032
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;DLOCAL BRASIL INSTITUIÇÃO DE PAGAMENTO - PRUDENCIA (conglomerado); ;15;3;4;12;98814;98808;6
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;DM FINANCEIRA CFI (conglomerado);78,32;395;152;179;333;2280025;429;2279959
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;DOCK IP (conglomerado);19,24;222;61;69;197;3572209;3535890;37504
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;EAGLE SCD (conglomerado); ;10;0;0;3;0;0;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;EBANX IP (conglomerado);29,82;125;95;91;131;3039734;3039734;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;EDENRED SOLUCOES E IP AHA (conglomerado); ;21;3;6;10;713344;713344;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;EFI S.A. IP (conglomerado);97,19;120;49;55;107;565363;564732;33037
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;33449007;EMPRESA BRASILEIRA DE BENEFICIOS E PAGAMENTOS INSTITUICAO DE PAGAMENTO LTDA; ;7;0;0;2;284802;284802;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;00714671;EWALLY INSTITUIÇÃO DE PAGAMENTO S.A.; ;3;0;0;2;83532;83532;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;FACTA S.A. CFI (conglomerado);519,91;2622;569;1499;995;2883958;686;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;00411939;FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO; ;19;0;0;15;34547;1284;33277
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;FISERV DO BRASIL IP (conglomerado); ;16;0;0;1;132;1;131
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;FITBANK IP (conglomerado);318,31;56;33;30;62;93638;93638;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;FLAGSHIP IP (conglomerado); ;10;1;2;5;85746;85746;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;FLASH TECNOLOGIA IP (conglomerado); ;18;4;7;11;382558;360138;25218
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;FORIS GFS BR IP (conglomerado); ;12;1;2;7;330423;330423;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;GAZINCRED SCFI (conglomerado); ;14;1;2;6;59807;59807;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;GENIAL (conglomerado);22,48;114;43;41;119;1832400;1832327;12047
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;GM (conglomerado); ;50;15;16;46;261393;514;260970
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;GOLCRED (conglomerado); ;5;1;1;6;16734;26;16710
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;HONDA (conglomerado); ;104;13;21;64;493053;148;492990
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;HS FINANCEIRA (conglomerado); ;25;5;8;16;229460;572;228948
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;INDUSTRIAL DO BRASIL (conglomerado); ;90;15;16;82;85245;4291;81780
2025;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;INTER (conglomerado);62,14;7023;347;2272;1071;36563772;36372098;7140864
2025;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ITAU (conglomerado);34,11;20211;577;3384;3118;99186353;82787083;52938224
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;IUGU IP (conglomerado);606,79;216;172;162;230;266202;266202;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;JBCRED S.A. SCFI (conglomerado); ;41;3;6;22;55829;0;55829
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;JP MORGAN CHASE (conglomerado); ;1;0;0;1;4325;4305;99
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;KANASTRA FINANCEIRA CFI (conglomerado); ;3;1;3;1;21950;21950;1
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;KREDILIG S.A. - CFI (conglomerado); ;24;6;10;15;426192;10;426187
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;11271860;LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;24;0;0;16;9;9;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;MAGALUPAY IP (conglomerado); ;69;20;21;65;3502205;3502195;34
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;MERCADO BITCOIN IP (conglomerado); ;11;1;1;9;22074;22074;0
2025;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;MERCADO PAGO IP (conglomerado);36,88;7119;522;2309;1687;62606628;62276245;11935776
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;MERCANTIL DO BRASIL (conglomerado);226,96;3263;618;1821;1107;8022088;5331462;4430137
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;MERCEDES-BENZ (conglomerado); ;8;0;0;2;17523;420;17174
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;MIDWAY S.A. - SCFI (conglomerado);7,32;947;36;65;523;8904034;4065491;7414543
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;04379829;NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS; ;15;0;0;9;545457;713;544746
2025;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;NEON PAGAMENTOS IP (conglomerado);27,05;1709;349;703;865;25977113;25957830;3550630
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;NOVO BCO CONTINENTAL S.A. - BM (conglomerado); ;71;23;30;55;22649;22649;0
2025;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;NU PAGAMENTOS (conglomerado);10,6;15087;135;1100;2179;103734267;101966482;63594354
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;NVIO BRASIL BITSO IP (conglomerado); ;28;13;14;26;1303795;1303795;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;OKTO IP (conglomerado); ;18;6;9;12;8245;8245;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;OMNI (conglomerado); ;280;19;30;207;156605;10255;148485
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ONEKEY PAYMENTS IP (conglomerado); ;6;4;3;7;126;126;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ORIGINAL (conglomerado);56,66;611;73;104;427;1843521;0;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;OURIBANK (conglomerado); ;51;2;3;35;1410136;1407317;2946
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;PAGARE IP (conglomerado); ;17;9;12;13;63;0;63
2025;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;PAGSEGURO (conglomerado);58,84;4969;518;1885;1323;32033840;31923106;1579894
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;PAGUEVELOZ IP (conglomerado);11,51;156;36;39;143;3411977;3411973;4
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;PARANÁ BANCO (conglomerado);157,68;590;170;226;444;1432625;13477;1419647
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;40820176;PAY BROKERS IP INSTITUICAO DE PAGAMENTO LTDA.; ;7;0;0;1;88;88;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;PAY4FUN IP S.A. (conglomerado);670,07;123;63;74;105;110137;24;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;PAYPAL DO BRASIL IP (conglomerado); ;34;2;3;22;225488;225486;2
2025;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;PEFISA S.A. (conglomerado);25,39;665;211;305;460;12011106;11854715;2986806
2025;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;PICPAY (conglomerado);36,42;5217;879;2265;1941;62176160;62102946;7584752
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;PINBANK BRASIL IP (conglomerado); ;3;1;1;3;29219;29219;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;PINE (conglomerado);460,9;1042;379;663;596;1437650;12969;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;PLUXEE IP (conglomerado); ;31;11;23;15;1838467;1838467;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;PORTO SEGURO (conglomerado);107,89;1133;188;353;603;3273902;9;3273902
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;QISTA S.A. CFI (conglomerado); ;60;19;25;46;105006;0;105006
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;QUERO-QUERO VERDECARD IP (conglomerado); ;104;13;18;76;587645;354795;292769
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;REALIZE CFI (conglomerado);10,86;641;45;70;412;6445646;48;6445612
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;RECARGAPAY IP (conglomerado);27,24;729;176;286;448;10515912;10513237;122033
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;RENDIMENTO (conglomerado); ;22;1;3;8;322146;318015;8750
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;RODOBENS (conglomerado); ;10;0;0;2;29215;1386;27981
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;06249129;RPW S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;6;0;0;2;22281;7;22274
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SAFRA (conglomerado);106,4;1811;293;492;1087;4624319;1387705;3500230
2025;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SANTANDER (conglomerado);37,5;16515;300;2556;1994;68151360;62834108;27319618
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SENFFNET IP (conglomerado);56,89;108;39;42;99;731060;437440;386202
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SF3 CFI (conglomerado); ;6;1;6;1;3123;1307;1818
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SHPP BRASIL IP (conglomerado);19,15;200;81;90;180;4699361;4699358;3
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SIMPALA CFI (conglomerado); ;16;1;3;5;36;36;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SOCIETE GENERALE (conglomerado); ;2;0;0;1;642;588;87
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SOCINAL S.A. CFI (conglomerado); ;92;15;18;77;3165;525;2654
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SOFISA (conglomerado);180,25;365;175;248;259;1373915;1351441;158935
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;STARK SCD (conglomerado); ;51;16;26;31;0;0;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;STELLANTIS (conglomerado); ;41;6;10;24;169053;684;168400
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;STONE IP (conglomerado);11,7;870;77;138;485;11778451;11778293;166
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;22121209;STRIPE BRASIL SOLUCOES DE PAGAMENTO INSTITUICAO DE PAGAMENTO LTDA; ;6;0;0;1;82;0;82
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SUMUP IP (conglomerado); ;47;7;12;27;741;0;741
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SUPERBID PAY IP (conglomerado); ;13;4;10;5;464447;464447;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SWAP IP (conglomerado); ;66;21;31;45;2078809;2072660;458319
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;09473806;TODESCREDI S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;5;0;0;1;42783;12;42771
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;TRANSFEERA IP (conglomerado); ;16;27;11;38;1913;1913;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;TRANSFERO IP (conglomerado); ;7;3;2;9;11;11;0
