Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade total de reclamações respondidas;Quantidade de reclamações procedentes;Quantidade de reclamações procedentes extrapoladas;Quantidade total de reclamações analisadas;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;
2024;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;99PAY (conglomerado);46,15;2208;372;1010;813;21888818;21888815;3;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ABC-BRASIL (conglomerado); ;9;0;0;1;52602;46546;11024;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ABN AMRO (conglomerado); ;5;0;0;2;0;0;0;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;10868663;ACG INSTITUIÇÃO DE PAGAMENTO S.A.; ;4;1;4;1;80207;77535;3122;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;14796606;ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA.; ;15;1;3;5;129;13;116;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AFINZ (conglomerado);71,46;194;42;42;195;584963;1123;583901;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AGIBANK (conglomerado);868,53;5663;1082;3182;1917;3663177;2847078;2362879;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;46;5;9;26;676750;133;676617;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;27214112;AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;13;1;2;6;20273;11197;14358;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;04740876;ALELO INSTITUICAO DE PAGAMENTO SA; ;76;18;34;40;5288527;5153143;147285;
2024;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AME DIGITAL (conglomerado);19,30;964;243;322;724;16697490;16689736;9073;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ANDBANK (conglomerado); ;12;0;0;2;87400;4531;82894;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ASAAS (conglomerado);48,87;125;35;47;93;962524;962521;97;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;54403563;BANCO ARBI S.A.; ;60;24;34;42;573960;564011;21978;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S.A.; ;6;1;2;3;33526;1031;32658;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;08357240;BANCO CSF S.A.;14,68;1210;68;136;604;9276827;0;9276827;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;04902979;BANCO DA AMAZONIA S.A.; ;33;6;9;22;658246;605366;204989;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;05040481;BANCO DE LAGE LANDEN BRASIL S.A.; ;8;0;0;2;40167;6;40163;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;92874270;BANCO DIGIMAIS S.A.;632,76;307;88;111;243;175700;5913;170981;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;04913711;BANCO DO ESTADO DO PARÁ S.A.;106,92;238;99;114;206;1069680;947644;461337;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S.A.; ;146;9;14;97;10268366;9713609;3387753;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;58616418;BANCO FIBRA S.A.; ;10;1;5;2;166560;6865;160632;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;53518684;BANCO HSBC S.A.; ;17;2;7;5;5814;5799;118;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;04866275;BANCO INBURSA S.A.;1.466,28;1547;292;750;602;511749;3;511746;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;92894922;BANCO ORIGINAL S.A.;49,42;717;64;112;411;2259184;445218;1838707;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;61820817;BANCO PAULISTA S.A.; ;24;5;8;15;97428;10641;87153;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;01023570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; ;3;0;0;1;3951;3872;1511;
